seed,round,method,correlation,rmse_c,mae_c,worst_client_rmse_c,p90_client_rmse_c,client_rmse_sd_c,effective_bits,energy_j,utility_target_js,temperature_coverage_js,participation_jain,max_relay_energy_j,min_residual_energy_j
53,25,random,0.0,1.7431125584505096,0.8067839997144435,8.635436811757423,1.9719415383466714,1.4296315244936302,2039655.980212003,5.691208754487572,0.06154622719158177,0.00020337397341203047,0.8543853893263342,0.21473976503907038,8.44117304855789
53,26,random,0.0,1.7442205886574036,0.814458262919329,8.633447871412894,1.9731792883173278,1.426341349009867,2138010.586332092,5.957424348563771,0.06008612248561737,0.00017516976194114915,0.8640081799591002,0.22457945742502294,8.44117304855789
53,27,random,0.0,1.745168139624013,0.8184109662258738,8.633163123974516,1.972965537648907,1.4247908645640552,2238293.235078943,6.228074440681525,0.06059069667184769,0.00013502921071748897,0.8658779931584949,0.2335812911538675,8.44117304855789
53,28,random,0.0,1.7443266266914719,0.8250182807217389,8.62289160587746,1.9750915012876284,1.42093132472506,2314463.032782662,6.443264975400074,0.05849973816487805,0.00015768576751220634,0.8762517882689557,0.24527212031368642,8.44117304855789
53,29,random,0.0,1.7437956356991744,0.8247549209173355,8.622948317956073,1.9751888517735134,1.4206069283839495,2413293.928168963,6.71057603478856,0.06059122609832732,0.00010685238034049047,0.8716832504145937,0.24527212031368642,8.44117304855789
53,30,random,0.0,1.7436172378524801,0.8258131575165695,8.620575616316595,1.9750094281919623,1.4197849456575897,2476752.9444772545,6.896531772297627,0.05980188771242636,0.00014824898260176522,0.8680555555555556,0.25427395404253095,8.44117304855789
59,1,random,0.0,2.2446035000634184,1.545949358376549,8.808314749113265,2.925602687731179,1.3647571166035786,103879.68299924428,0.27892327089826185,0.4063497836938056,0.003888766075143082,0.20833333333333334,0.019083239089527516,8.49945341589755
59,2,random,0.0,2.011382878539421,1.2596818190531918,8.7411274453699,2.5628845527910724,1.3707364632645145,183230.44325043415,0.5014300194759986,0.23786950202089624,0.0009636177648732789,0.4166666666666667,0.022885249872858168,8.49945341589755
59,3,random,0.0,1.857484626395954,0.9952948841827257,8.727285161323364,2.2831716686044965,1.4111710939604942,277669.39141243225,0.7586396002485942,0.18407269054058126,0.0011153000575643726,0.5208333333333334,0.031370213931724004,8.49945341589755
59,4,random,0.0,1.789688065979654,0.8449541998765625,8.713503181294334,2.267771457796783,1.4382632633920738,380194.3799971659,1.0344470739934817,0.16074094975819475,0.0005093700998974459,0.5747126436781609,0.0510495987036291,8.49945341589755
59,5,random,0.0,1.7766237043322368,0.8037970766623692,8.720459298272619,2.2506998237967366,1.4477438683248844,476864.96682526905,1.2967894236981192,0.1640004403916192,0.0005690605119587476,0.5787037037037037,0.06675353488611158,8.49945341589755
59,6,random,0.0,1.78145065366898,0.8149546539234351,8.737668616094668,2.172186918615832,1.4455429237644917,581289.3107061962,1.5769654146242518,0.1709709990785676,0.0006539683493857673,0.5769230769230769,0.07780830670427748,8.49945341589755
59,7,random,0.0,1.7882251561819658,0.8358286247165423,8.728353926746182,2.15499706664665,1.442450978662279,653304.6042669372,1.7826005898139556,0.13650439540735199,0.0006847364887037343,0.6149598393574297,0.10005948499964801,8.49945341589755
59,8,random,0.0,1.8060164109455479,0.8681922618327705,8.729597061277033,2.2311449816345985,1.4413168748235703,746797.1806253885,2.0376335154383933,0.10982436946060328,0.0008798713672223,0.6472491909385113,0.11111425681781391,8.49945341589755
59,9,random,0.0,1.8203639123054227,0.9024713153903599,8.724055745459237,2.2332529147978954,1.4350348351515108,820913.8976493244,2.248101964593446,0.11880865519163304,0.0008952672819368033,0.6296641791044776,0.13336543511318444,8.49945341589755
59,10,random,0.0,1.8156885157275993,0.9007041450202701,8.713501315390465,2.2242451803127063,1.4328887276426752,915804.1889974165,2.506349634694058,0.12373052915559428,0.000884031371111265,0.6275100401606426,0.14442020693135035,8.491351604254533
59,11,random,0.0,1.8220861745621593,0.9094606048333558,8.71923077269305,2.23503960998594,1.433072376615341,1007577.2727279586,2.7574277272743046,0.11764469576571443,0.0009836053514551374,0.6463675213675214,0.15561661340855498,8.477391658919824
59,12,random,0.0,1.8127285076641286,0.896494616995161,8.706835369937126,2.2355832761588794,1.4336278808342466,1101095.5797067406,3.012519833325504,0.11965613535455358,0.0009273228987469012,0.6607929515418502,0.15561661340855498,8.477391658919824
59,13,random,0.0,1.8169989860643416,0.9016462801607258,8.705828437530956,2.267353808574405,1.4352260234746927,1185466.2487314004,3.2465723720822224,0.12049715192609345,0.0007566962372961642,0.6618107769423559,0.1666713852267209,8.463431713585116
59,14,random,0.0,1.807659943595214,0.8893361605159331,8.692074925834419,2.268128161175722,1.4356197071977512,1251737.0554923539,3.4389952276324154,0.11935958732921219,0.000626526630101169,0.6716008771929824,0.1666713852267209,8.463431713585116
59,15,random,0.0,1.772877091374604,0.8354538250913596,8.681975903339321,1.9721452166275217,1.4344611806395764,1337011.5970180018,3.6751266731414054,0.10916014090513287,0.0005539355242748445,0.6975446428571429,0.1666713852267209,8.463431713585116
59,16,random,0.0,1.7669290637211625,0.8244717529548614,8.678360880543456,1.9617781506152134,1.4356805693810688,1434045.5784209338,3.9383048303681485,0.10348286404647625,0.000459383405772516,0.7130124777183601,0.17786779170392553,8.449471768250408
59,17,random,0.0,1.7690543558158955,0.8328954894808369,8.675283950166708,1.961780923173535,1.433186792771976,1517257.7728952742,4.169692877659128,0.0988694009039667,0.000328143685713061,0.7289144471347861,0.17786779170392553,8.421551877580992
59,18,random,0.0,1.7678959241774597,0.8328802384094836,8.670303076114779,1.961940035520017,1.4327163158306422,1602397.7997191045,4.4055149393539335,0.09860595239857498,0.0003075877808862318,0.7368995633187773,0.18892256352209144,8.408498309663702
59,19,random,0.0,1.7686516888880115,0.8358591301297662,8.670439666991644,1.9616953530746666,1.4315907127990324,1662116.2777335113,4.582867438787065,0.09931702532761229,0.0002689187191644926,0.740239501312336,0.20011896999929607,8.408498309663702
59,20,random,0.0,1.756599580784839,0.8130575577473789,8.664945025031985,1.9628840639721254,1.4343644661511752,1763851.090691469,4.8568575085903625,0.09056557544791675,0.0002909690730177961,0.7659313725490197,0.20011896999929607,8.394538364328994
