method,seed,correlation,accuracy,macro_f1,worst_client_accuracy,p10_client_accuracy,client_accuracy_sd,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,max_relay_energy_j,participation_jain,utility_target_js,class_coverage_js
utility_adaptive,83,0.0,0.8916789758739537,0.888523120698069,0.5833333333333334,0.7619261637239165,0.09555747775686524,14024029.208599789,5605152.0,32390400.0,1.4,2.69066936832478,24.955800971143425,4.688069679578297,3.4178204107525163,0.5574136008918618,0.09635781763665943,6.24749511380794e-06
utility_adaptive,89,0.0,0.8862629246676514,0.8804411811428889,0.55,0.7567094703049759,0.09880781594672146,13494930.583680566,5710320.0,32390400.0,1.365,2.5507048102113163,23.429919090762795,5.536183554090577,3.3341265126320327,0.670690811535882,0.049806297155228156,2.3456588481734738e-05
utility_adaptive,97,0.0,0.8562284588872476,0.8466856774246101,0.5666666666666667,0.7489566613162119,0.09960492717435986,13673467.155701835,5394720.0,32390400.0,1.325,2.6511635404910514,23.472859096996196,7.455383436603004,2.3709740146902973,0.6459948320413437,0.055827607978278196,9.183134207807475e-06
proposed_fixed_comp,53,0.0,0.7607090103397341,0.6810899612998716,0.43333333333333335,0.6449350649350649,0.10982441229934459,31197658.205636017,16204800.0,32390400.0,1.06,1.9252109378477962,48.95564378145973,5.1823412529959665,0.8004543081352284,0.6535947712418301,0.11060532137596693,8.927577637657847e-05
proposed_fixed_comp,59,0.0,0.7808961102904973,0.7144517249825103,0.45,0.6642857142857143,0.11141540810484704,30228735.049811836,16204800.0,32390400.0,1.035,1.865418582753988,46.95796257794524,5.988810532378066,0.4108995278788023,0.6915629322268326,0.09454511769835991,5.8735894041521126e-05
proposed_fixed_comp,61,0.0,0.8774002954209749,0.8745606089850115,0.6333333333333333,0.7790529695024078,0.08798024689470402,29747879.322594088,16204800.0,32390400.0,1.06,1.8357449226521816,46.966011976001695,5.592900472958991,0.7563271797498478,0.6830601092896175,0.13070018772782283,0.00017919257187961083
proposed_fixed_comp,67,0.0,0.7646479566715904,0.6840630484903256,0.5166666666666667,0.6037878787878788,0.10525940353318722,30134475.15088607,16204800.0,32390400.0,1.03,1.859601793967592,46.65948122548404,5.072616802779423,0.4183548049956237,0.7183908045977011,0.06465914641493534,0.00010120156484487019
proposed_fixed_comp,71,0.0,0.7444608567208272,0.6702877389608141,0.5151515151515151,0.6133333333333334,0.10549309244904907,32441890.524890885,16204800.0,32390400.0,1.05,2.0019926518618467,50.72020570160973,6.131681933536058,0.4077256855054612,0.6006006006006006,0.10233399462451442,5.4934613303542906e-05
proposed_fixed_comp,73,0.0,0.7287050713934022,0.6821697951159118,0.37254901960784315,0.5095833333333333,0.16005419300010099,28574408.42529534,16204800.0,32390400.0,1.03,1.7633299038121617,44.62016643177339,5.939500155614745,0.3832553802483429,0.6995452955578874,0.07559067438631985,2.1007765828128368e-05
proposed_fixed_comp,79,0.0,0.8380108321024126,0.8205133378812688,0.6,0.6935393258426966,0.10725520220826443,31132945.428442195,16204800.0,32390400.0,1.06,1.9212175052109348,49.0774881265724,5.561253278109007,0.9316213219046428,0.666000666000666,0.05678107608410918,0.00010154130321275712
proposed_fixed_comp,83,0.0,0.8828163466272771,0.8778745165744933,0.5,0.7517025089605734,0.11550820940317226,31105083.576105356,16204800.0,32390400.0,1.045,1.919498147222144,48.641191156644524,5.33531738869063,0.41506481578423887,0.6218905472636815,0.15586854148465729,8.094296357852326e-05
proposed_fixed_comp,89,0.0,0.8498276710979813,0.8418799700380717,0.6571428571428571,0.7319101123595505,0.08915102797836585,29443357.550884932,16204800.0,32390400.0,1.03,1.816952850444618,45.65615447534076,5.779885289378448,0.41108073932548395,0.5707762557077626,0.12387912869886175,0.00013920373377755376
proposed_fixed_comp,97,0.0,0.8409650418513048,0.831296827956404,0.44285714285714284,0.6373949579831933,0.13608598012859702,33220886.244255375,16204800.0,32390400.0,1.05,2.0500645638486996,51.82172211382265,5.612297245519957,0.8815418910777568,0.697350069735007,0.07971436470736933,0.0001320580875480554
fedcg_adapted,53,0.0,0.8749384539635647,0.8691498577750596,0.5166666666666667,0.7514285714285714,0.10699858234517526,9245146.161745764,4876800.0,32390400.0,1.075,1.8957402726676826,15.129939386917483,7.88878460892583,0.6059535838871892,0.6740815638692281,0.13461130424701184,7.11315810364209e-05
fedcg_adapted,59,0.0,0.8759231905465288,0.8730187747755761,0.5833333333333334,0.7070786516853932,0.10539854033678704,8792533.940966114,4957728.0,32390400.0,1.06,1.7808450472091142,14.356656065206836,8.003660541197263,0.648989727027216,0.7293946024799417,0.1293575169449654,6.783174388534381e-05
fedcg_adapted,61,0.0,0.8813392417528311,0.8758197887807989,0.5333333333333333,0.7768057784911717,0.10299571639181078,8718940.845859068,4933440.0,32390400.0,1.08,1.772782603269159,14.40664153262188,7.999267015311956,0.544537780798752,0.6516780710329098,0.1626016214123523,6.969078650476308e-05
fedcg_adapted,67,0.0,0.8813392417528311,0.876080318897768,0.5333333333333333,0.738015873015873,0.10962684854127702,8869284.635685913,4901088.0,32390400.0,1.075,1.812366164063086,14.569635637895779,8.099980820996603,0.4473291259986344,0.7374631268436578,0.10602808760967855,3.8321694643417915e-05
fedcg_adapted,71,0.0,0.8818316100443131,0.8778228643142033,0.5833333333333334,0.7784331797235023,0.10128940589589659,10222863.329449339,5062944.0,32390400.0,1.12,2.0471620445600207,16.977118054061325,8.25619931990036,0.9933458585409715,0.667334000667334,0.11691938633646684,7.567883200374631e-05
