seed,correlation,round,method,accuracy,macro_f1,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,mean_residual_energy_j,participation_jain,utility_target_js,class_coverage_js,relay_queue_max,relay_energy_max_j,selected,accepted_updates
97,0.0,14,random,0.929,0.9291725504799953,645779.7998190885,262080.0,512064.0,1.2738095238095237,2.4640560127407234,2.416259218456115,8.857633176110136,9.913483027968773,0.8647058823529412,0.05327257004699247,0.0014880250798682373,0.07555937346817049,0.1275593734681705,6,6
97,0.0,15,random,0.928,0.928213530898874,692368.5078393292,280800.0,548640.0,1.2777777777777777,2.4656998142426265,2.5916439450640456,8.857633176110136,9.906175331026777,0.8479899497487438,0.05867565376902423,0.0014810625309047607,0.08778281556011688,0.1437828155601169,6,6
97,0.0,16,random,0.921,0.921186915084248,749608.1911814685,299520.0,585216.0,1.2916666666666667,2.502698287865481,2.7865480924928687,8.857633176110136,9.898054324883908,0.8421052631578947,0.05973512518818236,0.0015960624704054913,0.10000625765206328,0.1600062576520633,6,6
97,0.0,17,random,0.925,0.9251709034177816,789381.7223301412,318240.0,621792.0,1.2745098039215685,2.480460414561782,2.9422083892158777,8.844308842667479,9.891568479187116,0.85,0.05864248696666533,0.0013971690389345654,0.09600625765206328,0.1600062576520633,6,6
97,0.0,18,random,0.926,0.9262802054946834,840415.8729253178,336960.0,658368.0,1.2777777777777777,2.494111683657758,3.1248752184233766,8.830620252915395,9.883957361303471,0.8647686832740213,0.05738207871785965,0.0013432374242125442,0.10711561811030934,0.17511561811030937,6,6
97,0.0,19,random,0.923,0.9232067407390263,898645.2201223233,355680.0,694944.0,1.2894736842105263,2.526555387208512,3.322855363571622,8.803607329720654,9.87570818858896,0.8677884615384616,0.057436810944828984,0.001269249310693903,0.11933906020225574,0.19133906020225577,6,6
97,0.0,20,random,0.932,0.9319576237072102,946756.7538418309,374400.0,731520.0,1.2916666666666667,2.5287306459450622,3.498807666266466,8.803607329720654,9.868376842643341,0.8955223880597015,0.04608282730611513,0.000732348534311971,0.1304484206605018,0.20644842066050184,6,4
97,0.0,21,random,0.922,0.9215519242288238,1001623.0928518649,393120.0,768096.0,1.3015873015873016,2.547881290323223,3.6882986163014033,8.803607329720654,9.860481386391887,0.8987771739130435,0.04216362585172549,0.0010229315405356177,0.14155778111874787,0.2215577811187479,6,6
97,0.0,22,random,0.924,0.9237045985165728,1046323.279735529,411840.0,804672.0,1.303030303030303,2.540606254214087,3.858900874697533,8.803607329720654,9.853372958958714,0.8897058823529411,0.04406585075273117,0.0010650570770729642,0.13755778111874786,0.2215577811187479,6,6
97,0.0,23,random,0.926,0.9261124143106765,1105123.0138617554,430560.0,841248.0,1.3115942028985508,2.5667108274381176,4.059465257578102,8.776594406525913,9.845016109672024,0.8895739910313901,0.04516160648929009,0.0009486321124546412,0.14978122321069426,0.2377812232106943,6,6
