round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,generated_total,delivered_total,channel_drops_total,energy_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
154,92,8,1.918207999999997,322.31342118868423,92,81,11,0,15200,13447,1745,8,0.884671052631579,166881.04330757042,1.0597959572112827,79304,9547,28.245259822814862
155,92,8,1.9100799999999971,324.2235011886842,92,83,9,0,15292,13530,1754,8,0.8847763536489668,166921.89123114944,1.0590966893848726,79774,9593,28.131184223704956
156,92,8,1.885695999999997,326.1091971886842,92,81,11,0,15384,13611,1765,8,0.8847503900156006,166950.2132087956,1.0583600794537162,80238,9635,28.01802647974374
157,92,8,1.897887999999997,328.00708518868424,92,82,10,0,15476,13693,1775,8,0.8847893512535538,166984.1978214974,1.057673736640249,80705,9679,27.9051914851383
158,92,8,1.9425919999999968,329.94967718868423,92,82,10,0,15568,13775,1785,8,0.884827852004111,166995.1626244224,1.0571669759844162,81183,9732,27.788610759454617
159,92,8,1.9425919999999963,331.8922691886842,92,84,8,0,15660,13859,1793,8,0.8849936143039592,167030.10327873606,1.0567115123264832,81661,9780,27.670323477778112
160,92,8,1.897887999999997,333.79015718868425,92,81,11,0,15752,13940,1804,8,0.8849669883189436,167051.06127044992,1.0560828203236627,82128,9828,27.55739620049971
161,92,8,1.9141439999999967,335.70430118868427,92,82,10,0,15844,14022,1814,8,0.8850037869224944,167075.60731691506,1.0554600985367473,82599,9875,27.441986201742033
162,92,8,1.9060159999999968,337.6103171886843,92,82,10,0,15936,14104,1824,8,0.8850401606425703,167103.89797853873,1.0547786324484318,83068,9921,27.32832198680862
163,92,8,1.9100799999999967,339.5203971886843,92,82,10,0,16028,14186,1834,8,0.8850761167956077,167129.8704580191,1.054186404795086,83538,9966,27.213934784692853
164,91,9,1.9011098041386416,341.4215069928229,92,81,10,1,16120,14267,1844,9,0.8850496277915633,167148.2283077136,1.0535804401785194,84005,10014,27.10230856143589
165,91,9,1.8816319999999969,343.30313899282294,91,81,10,0,16211,14348,1854,9,0.885078033434088,167175.86727687868,1.0529887180045068,84468,10059,26.991340400736412
166,91,9,1.9425919999999965,345.2457309928229,91,82,9,0,16302,14430,1863,9,0.8851674641148325,167185.26782073345,1.052485958163838,84946,10111,26.874334396835174
