round,round_airtime_s,elapsed_channel_time_s,alive_nodes,dead_nodes,residual_energy_j,generated_packets,delivered_packets,energy_drops,pdr,avg_delay_s,throughput_bps
159,1.6,254.39999999999935,100,0,32.60058641227485,15900,15900,0,1.0,0.8090003459466301,250000.00000000064
160,1.6,255.99999999999935,100,0,32.4911561381382,16000,16000,0,1.0,0.80900034594663,250000.00000000064
161,1.6,257.59999999999934,100,0,32.38172586400157,16100,16100,0,1.0,0.80900034594663,250000.00000000064
162,1.6,259.19999999999936,100,0,32.272295589864925,16200,16200,0,1.0,0.80900034594663,250000.0000000006
163,1.6,260.7999999999994,100,0,32.1628653157283,16300,16300,0,1.0,0.8090003459466298,250000.00000000058
164,1.6,262.3999999999994,100,0,32.05343504159166,16400,16400,0,1.0,0.8090003459466298,250000.00000000055
165,1.6,263.99999999999943,100,0,31.94400476745502,16500,16500,0,1.0,0.8090003459466298,250000.00000000052
166,1.6,265.59999999999945,100,0,31.834574493318385,16600,16600,0,1.0,0.8090003459466297,250000.00000000052
167,1.6,267.1999999999995,100,0,31.72514421918175,16700,16700,0,1.0,0.8090003459466297,250000.0000000005
168,1.6,268.7999999999995,99,1,31.617661333363518,16800,16799,1,0.9999404761904762,0.8090008221558523,249985.11904761952
169,1.584,270.3839999999995,99,1,31.511218841300206,16899,16898,1,0.9999408249008818,0.8089539499043443,249985.2062252209
170,1.584,271.9679999999995,99,1,31.404776349236897,16998,16997,1,0.9999411695493587,0.8089076236730633,249985.29238734013
171,1.584,273.5519999999995,99,1,31.298333857173578,17097,17096,1,0.9999415102064689,0.8088618339762814,249985.37755161768
172,1.584,275.1359999999995,99,1,31.191891365110273,17196,17195,1,0.9999418469411491,0.808816571546726,249985.4617352877
173,1.584,276.7199999999995,98,2,31.087096751783577,17295,17293,2,0.9998843596415149,0.8087852299387174,249971.08991037915
174,1.568,278.2879999999995,98,2,30.98355395844129,17393,17391,2,0.9998850112114069,0.8086962805424949,249971.25280285216
175,1.568,279.8559999999995,98,2,30.880011165098992,17491,17489,2,0.9998856554799611,0.8086083280061075,249971.41386999073
176,1.568,281.42399999999947,98,2,30.7764683717567,17589,17587,2,0.9998862925692193,0.8085213556651561,249971.57314230534
177,1.568,282.99199999999945,98,2,30.67292557841441,17687,17685,2,0.9998869225985186,0.8084353472246191,249971.73064963016
178,1.568,284.55999999999943,98,2,30.56938278507212,17785,17783,2,0.9998875456845656,0.8083502867486743,249971.8864211419
179,1.568,286.1279999999994,98,2,30.46583999172983,17883,17881,2,0.9998881619415086,0.8082661586508563,249972.04048537769
180,1.568,287.6959999999994,98,2,30.36229719838754,17981,17979,2,0.9998887714810077,0.8081829476845347,249972.19287025245
181,1.568,289.2639999999994,97,3,30.261055722766603,18079,18076,3,0.9998340616184523,0.8081249308202745,249958.51540461363
